Helpful, Recommend, Hours, Posted_Date, Text, User, Game_Number
尚未有人觉得这篇评测有价值,推荐,388.7,2016-8-8,疯了，14个月以前不能重新玩任务，至今没找到解决方法。无限卡在建立复原点。求助!crazy  I met a bug that "create a restore point" appears infinitely when replay missions before 14 months  and it have not be sorted for now. HELP ME plz!!!,shawnshiu,515
尚未有人觉得这篇评测有价值,推荐,292.8,2016-8-8,非常非常好玩的一款游戏 就是外挂太恶心,ASSASSIN,112
尚未有人觉得这篇评测有价值,推荐,1718.7,2016-6-7,为什么今天玩不了GTA5了？不管是单机模式还是联机模式，都无法进入游戏,贺浩宇,13
尚未有人觉得这篇评测有价值,推荐,233.3,2016-8-7,外挂 特别多,没遮没拦,5
尚未有人觉得这篇评测有价值,推荐,260.5,2016-7-22,GOOD,他女朋友真可爱,95
1 人觉得这篇评测有价值有 1 人觉得这篇评测很欢乐,不推荐,145.2,2016-8-11,本来我是打算给好评，直到今天晚上23点，莫名其妙封号。直接10天，R星， ♥♥♥♥ your mother,丝袜特,31
1 人觉得这篇评测有价值,不推荐,103.2,2016-8-11,this game is a ♥♥♥♥!!!!!!!!!!!!,不存在的次元,17
尚未有人觉得这篇评测有价值,推荐,447.6,2016-6-13,线上太卡,Jamie:D,5
尚未有人觉得这篇评测有价值,推荐,156.2,2016-6-13,GTA5，不必多说，经典就是经典。,Silencers,52
尚未有人觉得这篇评测有价值,推荐,121.5,2016-6-12,这游戏很棒，就是没有拉斯维加斯的赌场，和喷火器.有点遗憾！,1813458570,14
1 人觉得这篇评测有价值,不推荐,266.9,2016-9-15,什么破鸡巴玩意，我已经被误封两次了，今天是第二次了，太恶心了，希望r星赶紧解封,a小沫比比,88
尚未有人觉得这篇评测有价值,推荐,345.6,2016-6-8,莫名其妙封号，我艹R星，玩个J8,裤裆有BUFF,4
1 人觉得这篇评测有价值,推荐,110.1,2016-6-30,666666666666666666666666666666666666666,kevin23333,17
1 人觉得这篇评测有价值,推荐,51.7,2016-5-22,游戏很不错  就是线上模式G太多,放學別走,10
1 人觉得这篇评测有价值,推荐,389.0,2015-11-28,gta5忘记了小时候有多么喜欢这款游戏，只是开车，突突突，就能让我玩上好一阵子，现在画面更好了，故事更丰富了，就是联机方面还是差强人意。,打牌狂人杰洛特,96
1 人觉得这篇评测有价值,推荐,876.4,2015-11-28,就是贵了点,1072900347,5
1 人觉得这篇评测有价值,推荐,73.1,2015-11-28,买晚了。。只能这么说,Acme,17
尚未有人觉得这篇评测有价值,推荐,157.5,2016-9-19,很不错的游戏，基本所有版本都玩过，支持下,神奇的河马,13
1 人觉得这篇评测有价值,不推荐,442.2,2016-6-28,R星，你这样误封。真的好嘛？,iNORI,226
1 人觉得这篇评测有价值,不推荐,72.8,2016-6-28,误封,T-Doge,81
1 人觉得这篇评测有价值,不推荐,59.2,2016-6-28,sbr星脑残乱封号,2453163970,2
1 人觉得这篇评测有价值,不推荐,470.1,2016-6-28,开挂的没见封 没开挂就随便封 R星 我操你妈屄 食屎啦,925295711,2
1 人觉得这篇评测有价值有 5 人觉得这篇评测很欢乐,不推荐,434.7,2016-7-10,路边殺死一个挂b，封我永久，吔屎啦r星，看我的时间就知道我是一个老湿机。,戴呆呆,50
1 人觉得这篇评测有价值,不推荐,64.5,2016-7-7,玩了十几个小时，什么都没做，无缘无故就封了我的号，就我一人被封就算了，我朋友也是这样，这游戏这公司也算是极品了,kev3n,4
1 人觉得这篇评测有价值,不推荐,421.7,2016-7-7,R星 无缘无故封号 ，建议别买】,1067846620,1
1 人觉得这篇评测有价值,不推荐,499.1,2016-7-7,玩儿了100个小时 开个VPN给我封了10+30天 还不给个理由申诉一堆官方语言 就是不给看账号到底是为什么被封   说什么临时封停不给解 那直接给个永久 我在找你解封 可以么      跟我一个房间的哥们 就没事...逗我玩儿呢,Pias Johnny,48
1 人觉得这篇评测有价值,不推荐,337.8,2016-7-7,乱封号，,BOA,32
